FEATURE_1	FEATURE_2	FEATURE_3	FEATURE_4	FEATURE_5	AD_ID	CONTROL	RESPONSE	TIME
1	1	1	1	1	1	0	0	Day 1, 9:00
2	2	2	2	2	1	0	1	Day 1, 10:00
2	1	2	2	3	2	0	0	Day 1, 12:00
2	1	3	1	2	1	0	0	Day 1, 12:00
3	2	3	1	4	1	0	0	Day 1, 11:00
2	1	3	1	4	1	0	0	Day 1, 11:00
2	2	4	1	4	1	0	0	Day 1, 12:00
1	1	3	1	5	1	0	0	Day 1, 0:00
1	1	2	2	1	1	1	0	Day 1, 9:00
1	2	2	2	2	2	0	0	Day 1, 0:00
2	2	1	1	3	2	1	0	Day 1, 0:00
2	1	3	1	4	2	0	0	Day 1, 15:00
2	1	3	1	5	3	0	0	Day 1, 1:00
1	1	2	2	1	2	0	0	Day 1, 2:00
2	1	3	1	1	1	1	0	Day 1, 14:00
2	1	2	2	1	3	0	0	Day 1, 15:00
2	1	2	2	5	3	1	0	Day 1, 2:00
2	2	2	2	4	3	0	0	Day 1, 0:00
1	1	3	1	3	1	0	0	Day 1, 12:00
2	1	2	2	3	1	0	0	Day 1, 8:00
1	1	3	1	5	2	1	0	Day 1, 0:00
2	1	3	1	4	2	1	0	Day 1, 2:00
2	1	3	1	4	1	0	0	Day 1, 12:00
2	2	3	1	4	2	1	0	Day 1, 0:00
2	1	2	2	3	3	0	0	Day 1, 7:00
3	1	3	1	2	2	0	0	Day 1, 2:00
1	1	3	1	4	1	0	0	Day 1, 0:00
2	1	2	2	2	1	0	0	Day 1, 4:00
2	1	2	2	1	1	0	0	Day 1, 4:00
2	2	2	2	1	3	0	0	Day 1, 9:00
2	1	3	2	2	1	0	1	Day 1, 1:00
2	1	2	2	3	1	0	0	Day 1, 12:00
2	1	2	1	5	1	0	0	Day 1, 10:00
2	1	3	1	4	1	1	0	Day 1, 2:00
2	2	3	1	4	1	0	0	Day 1, 1:00
1	2	2	2	4	1	0	0	Day 1, 2:00
2	1	1	2	3	3	0	0	Day 1, 4:00
2	1	3	1	2	3	0	0	Day 1, 5:00
3	1	2	2	3	1	0	0	Day 1, 5:00
2	1	2	2	3	2	0	0	Day 1, 19:00
3	1	3	1	1	1	0	0	Day 1, 19:00
2	1	4	3	5	1	1	0	Day 1, 17:00
3	1	3	1	2	1	0	0	Day 1, 2:00
3	1	2	2	3	2	0	0	Day 1, 10:00
2	2	2	2	5	3	0	0	Day 1, 4:00
2	1	2	2	5	3	0	0	Day 1, 20:00
2	1	2	1	5	2	0	0	Day 1, 6:00
2	1	3	1	5	1	0	0	Day 1, 6:00
2	2	2	1	4	1	0	0	Day 1, 6:00
3	2	2	2	3	3	0	0	Day 1, 20:00
3	2	2	2	1	3	1	0	Day 1, 6:00
2	1	1	1	5	1	0	0	Day 1, 6:00
2	1	3	1	5	1	0	1	Day 1, 6:00
3	1	2	2	1	1	0	0	Day 1, 3:00
4	1	3	1	2	2	0	0	Day 1, 7:00
1	1	2	1	5	1	1	0	Day 1, 7:00
5	2	2	2	4	3	0	0	Day 1, 6:00
1	1	3	1	4	1	0	0	Day 1, 12:00
3	2	2	2	3	2	0	0	Day 1, 7:00
2	1	3	1	5	2	0	0	Day 1, 7:00
2	2	3	1	1	1	0	0	Day 1, 13:00
3	1	3	1	5	1	0	0	Day 1, 4:00
3	1	3	1	2	1	0	0	Day 1, 7:00
3	1	2	2	2	1	1	0	Day 1, 7:00
2	1	2	1	5	1	0	0	Day 1, 7:00
2	1	3	1	4	1	0	0	Day 1, 7:00
2	1	3	1	2	1	0	0	Day 1, 8:00
2	1	2	1	1	1	0	0	Day 1, 6:00
3	2	2	2	2	2	0	0	Day 1, 7:00
